scenario_id,domain,title,persona,route,priority,test_type,preconditions,steps,expected_result,evidence,status
AUTH-001,Security,MFA enrollment and login,Platform Admin,/login,P0,POSITIVE,"Fresh local environment; bootstrap admin exists; authenticator available","Login with bootstrap credentials; enroll TOTP; enter current six-digit code; complete login","User reaches authenticated application; MFA is enabled; subsequent login requires TOTP","Screenshot of successful authenticated page; tester note that secret is not captured",READY
AUTH-002,Security,Critical role cannot bypass MFA,Platform Admin,/login,P0,NEGATIVE,"Critical-role account has MFA enabled","Login with correct username/password; do not provide TOTP; attempt to navigate directly to /dashboard","Application does not establish a normal authenticated session before valid MFA completion","Screenshot of MFA challenge; no secret value in evidence",READY
ORG-001,Organization,Create UAT organization structure,Platform Admin,/organization,P0,POSITIVE,"Authenticated admin with organization manage permissions","Create company; create branch; create department; create position; create project/cost center if available","Organization records are created once and appear in lists for dependent UAT scenarios","Company/branch/department/position codes and screenshots",READY
PER-001,Personnel,Create active employee,HR Specialist,/personnel,P0,POSITIVE,"UAT company, department, position and employee type exist; personnel.create permission","Open /personnel; select organization data; enter unique employee number, name and hire date; submit","Employee is created as ACTIVE and user is redirected to Personel 360","Employee number and resulting Personel 360 screenshot",READY
PER-002,Personnel,Required personnel field validation,HR Specialist,/personnel,P0,NEGATIVE,"Personnel create permission","Attempt employee creation without employee number; repeat without department/position/hire date","Invalid employee is not created and required fields are enforced","Validation screenshot and attempted field set",READY
PER-003,Personnel,Search and filter employees,HR Specialist,/personnel,P1,POSITIVE,"At least two employees with different department/status/type","Search by employee number/name; filter by company, department, type, project and status","Returned rows match active filters and pagination count is coherent","Filter values and result count screenshot",READY
PER-004,Personnel,Personnel 360 sensitive data access boundary,HR Specialist,/personnel/{id},P0,AUTHORIZATION,"Employee exists; one user has sensitive-data permission and another does not","Open same Personel 360 with privileged user; inspect sensitive section; repeat with restricted user","Sensitive identity/IBAN values are only available through authorized path and are not exposed to restricted user","Two screenshots with values masked/redacted in evidence",READY
ATT-001,Attendance,Create work calendar,HR Operations,/attendance,P0,POSITIVE,"UAT company exists; attendance.calendar.manage permission","Select company; create calendar with unique code/name; mark default if desired","Calendar appears in list and can be selected","Calendar code and screenshot",READY
ATT-002,Attendance,Define calendar day,HR Operations,/attendance,P0,POSITIVE,"Work calendar exists","Select calendar; add a WORKDAY with planned minutes; add a HOLIDAY/OFF_DAY entry","Special days appear with correct type, paid flag and planned minutes rules","Calendar-day screenshots",READY
ATT-003,Attendance,Create day and overnight shifts,HR Operations,/attendance,P0,BOUNDARY,"UAT company exists; attendance.shift.manage permission","Create normal shift such as 08:00-17:00; create overnight shift such as 20:00-08:00","Normal shift has expected planned minutes; overnight shift is classified as crossing midnight","Shift rows and calculated planned minutes",READY
ATT-004,Attendance,Assign shift and calendar to employee,HR Operations,/attendance,P0,POSITIVE,"Active employee, calendar and shift exist; attendance.assignment permission","Select employee; assign shift/calendar with validFrom and optional validUntil","Assignment is stored and listed for employee with effective dates","Assignment screenshot",READY
ATT-005,Attendance,Ingest immutable raw PDKS events,HR Operations,/attendance/daily,P0,POSITIVE,"Employee has effective shift/calendar; attendance.raw.ingest permission","Select employee/date; add IN and OUT events with unique external event IDs","Both raw events appear with local date/time, direction, source and UTC offset; records are not editable from UI","Raw-event table screenshot and external IDs",READY
ATT-006,Attendance,Reject duplicate external PDKS event,HR Operations,/attendance/daily,P0,IDEMPOTENCE,"A raw event exists with an externalEventId","Submit another event using the same integration identity/external event ID","Duplicate does not create an unintended second business event; error/idempotent behavior is explicit","Before/after raw-event count and message",READY
ATT-007,Attendance,Calculate normal daily attendance,HR Operations,/attendance/daily,P0,POSITIVE,"Valid IN/OUT events and shift/calendar assignment exist","Select employee/date; click Günlük Puantajı Hesapla","Daily row shows planned/worked/leave/late/early/overtime candidate values and non-error processing status","Daily attendance row screenshot",READY
ATT-008,Attendance,Incomplete punches require review,HR Operations,/attendance/daily,P0,NEGATIVE,"Employee has shift/calendar; only an IN or malformed event set exists","Calculate daily attendance","Result is not silently accepted; processingStatus becomes REVIEW_REQUIRED or equivalent with explanation","Daily row including calculation message",READY
OT-001,Overtime,Create overtime request from candidate,Employee or HR Operator,/attendance/overtime,P0,POSITIVE,"Daily attendance has overtimeCandidateMinutes > 0; request permission","Select employee; choose candidate; request a positive minute amount not greater than candidate; add reason","Request is created in PENDING_MANAGER and source daily version is recorded","Overtime row with candidate/requested/status",READY
OT-002,Overtime,Reject overtime above candidate,Employee or HR Operator,/attendance/overtime,P0,NEGATIVE,"Daily row has known overtime candidate","Attempt to request more minutes than candidate or zero minutes","UI/API rejects invalid requested minutes and no request is created","Validation message and unchanged request count",READY
OT-003,Overtime,Manager then HR approval chain,Manager + HR Approver,/attendance/overtime,P0,END_TO_END,"Request exists in PENDING_MANAGER; manager and HR approver roles available","Manager approves; verify PENDING_HR; HR approves with final minutes <= requested","Request transitions PENDING_MANAGER → PENDING_HR → APPROVED and approvedMinutes is final value","Status screenshots from both approval steps",READY
OT-004,Overtime,Reject overtime request,Manager or HR Approver,/attendance/overtime,P1,NEGATIVE,"Pending overtime request exists","Reject at permitted approval step and enter reason","Request becomes REJECTED and cannot proceed as approved overtime","Rejected row and decision note screenshot",READY
MEAL-001,Meal,Create date-effective meal rate,Camp/Meal Admin,/meal,P0,POSITIVE,"Camp and meal type exist; meal.rate.manage permission","Select camp and meal type; create rate with validFrom, unit price and currency","Rate appears with correct effective interval and currency","Rate row screenshot",READY
MEAL-002,Meal,Record meal consumption with cost snapshot,Meal Operator,/meal,P0,POSITIVE,"Active employee, camp, meal type and effective rate exist","Record quantity 1 for selected date/source","Consumption is created; unitPriceSnapshot and totalCostSnapshot equal rate × quantity","Consumption row and expected calculation",READY
MEAL-003,Meal,Historical meal cost remains stable after rate change,Meal Admin,/meal,P0,SNAPSHOT,"MEAL-002 consumption exists","Create a later or replacement effective rate; reload historical consumption","Existing consumption keeps original unit-price and total-cost snapshot","Before/after historical row values",READY
CAMP-001,Camp,Create camp room and bed hierarchy,Camp Admin,/camp,P0,POSITIVE,"UAT company ID known; camp.site.manage permission","Create camp; select camp; create room; select room; create bed","Camp → room → bed hierarchy is selectable and unique codes are retained","Hierarchy screenshot",READY
CAMP-002,Camp,Create date-effective accommodation rate,Camp Admin,/camp,P0,POSITIVE,"Camp exists; camp.rate.manage permission","Select camp; create nightly rate with validFrom and currency","Rate appears for selected camp and effective interval","Rate screenshot",READY
CAMP-003,Camp,Open and close employee stay,Camp Operator,/camp,P0,END_TO_END,"Active employee, bed and effective camp rate exist","Create stay with check-in; verify ACTIVE; close with exclusive checkout date","Stay closes with correct night count and final cost snapshot = nights × nightly rate","Active and closed stay screenshots plus calculation",READY
CAMP-004,Camp,Prevent overlapping bed occupancy,Camp Operator,/camp,P0,NEGATIVE,"An active/overlapping stay already occupies a bed","Attempt second stay on same bed with overlapping date range","Database/application rejects overlapping allocation; existing stay remains unchanged","Error message and unchanged stay list",READY
PAY-001,Payroll,Create effective compensation,Payroll Specialist,/payroll,P0,POSITIVE,"Active employee exists; payroll.compensation.manage permission","Select employee; add salary starting on first day of month; set currency and overtime multiplier","Compensation appears in history with correct effective interval","Compensation row screenshot with sensitive amount redacted if evidence leaves UAT workspace",READY
PAY-002,Payroll,Reject invalid compensation effective date,Payroll Specialist,/payroll,P0,NEGATIVE,"Employee exists","Attempt compensation validFrom that is not first day of month; attempt zero salary/out-of-range multiplier","Invalid compensation is rejected and no bad history row is created","Validation/error message",READY
PAY-003,Payroll,Payroll lifecycle calculation,Payroll Specialist + Reviewer + Approver,/payroll,P0,END_TO_END,"Employee has compensation; attendance/leave/overtime/meal/camp data prepared for period","Create period; open; calculate; move to review; approve; close","Status transitions DRAFT → OPEN → CALCULATED → UNDER_REVIEW → APPROVED → CLOSED","Screenshot/evidence for each status and selected result totals",READY
PAY-004,Payroll,Closed payroll period is immutable,Payroll Specialist,/payroll,P0,NEGATIVE,"A payroll period is CLOSED","Attempt lifecycle/data change against closed period; create correction/revision instead","Closed period cannot be mutated; correction path uses a new revision","Closed status plus revision screenshot",READY
PAY-005,Payroll,Payroll result includes approved overtime and employer costs,Payroll Reviewer,/payroll,P0,RECONCILIATION,"Prepared employee has known planned/worked/leave minutes, approved overtime, meal and camp costs","Calculate period; inspect employee result","Approved overtime minutes and meal/accommodation employer costs match prepared source data; pay-before-statutory values are internally coherent","Manual reconciliation worksheet/reference values and result screenshot",READY
AST-001,Assets,Create stock location item and receipt,Admin Affairs,/assets,P1,END_TO_END,"UAT company exists; stock manage/movement permissions","Create stock location; create item with minimum level; record RECEIPT quantity","Balance equals receipt quantity and movement appears in append-only ledger","Balance and movement screenshots",READY
AST-002,Assets,Issue and return stock movement,Admin Affairs,/assets,P1,POSITIVE,"Stock balance exists; active employee exists","Record ISSUE linked to employee; record RETURN","Signed movements adjust balance correctly and employee linkage is visible","Before/after balance plus movements",READY
AST-003,Assets,Create and assign asset to employee,Asset Custodian,/assets,P0,END_TO_END,"Active employee exists; asset manage/assign permissions","Create asset card; select available asset; assign to employee with assigned date","Asset status/assignment indicates employee is current custodian and item is no longer available for duplicate assignment","Asset and active assignment screenshot",READY
